"Date / Time(PST)","PPT INCINCHES","","RAININCHES",""
"09/17/2017",".00","","12.34",""
"09/18/2017",".00","","12.34",""
"09/19/2017",".00","","12.34",""
"09/20/2017",".00","","12.34",""
"09/21/2017",".00","","12.34",""
"09/22/2017",".00","","12.34",""
"09/23/2017",".00","","12.34",""
"09/24/2017",".00","","12.34",""
"09/25/2017",".00","","12.34",""
"09/26/2017",".00","","12.34",""
"09/27/2017",".00","","12.34",""
"09/28/2017",".00","","12.34",""
"09/29/2017",".00","","12.34",""
"09/30/2017",".00","","12.34",""
"10/01/2017",".00","",".00",""
"10/02/2017","--","",".00",""
"10/03/2017",".00","",".00",""
"10/04/2017",".00","",".00",""
"10/05/2017",".00","",".00",""
"10/06/2017",".00","",".00",""
"10/07/2017",".00","",".00",""
"10/08/2017",".00","",".00",""
"10/09/2017",".00","",".00",""
"10/10/2017",".00","",".00",""
"10/11/2017",".00","",".00",""
"10/12/2017",".00","",".00",""
"10/13/2017",".00","",".00",""
"10/14/2017",".00","",".00",""
"10/15/2017",".00","",".00",""
"10/16/2017",".00","",".00",""
"10/17/2017",".00","",".00",""
"10/18/2017",".00","",".00",""
"10/19/2017",".00","",".00",""
"10/20/2017",".00","",".00",""
"10/21/2017",".00","",".00",""
"10/22/2017",".00","",".00",""
"10/23/2017",".00","",".00",""
"10/24/2017",".00","",".00",""
"10/25/2017",".00","",".00",""
"10/26/2017",".00","",".00",""
"10/27/2017",".00","",".00",""
"10/28/2017",".00","",".00",""
"10/29/2017",".00","",".00",""
"10/30/2017",".00","",".00",""
"10/31/2017",".00","",".00",""
"11/01/2017",".00","",".00",""
"11/02/2017",".00","",".00",""
"11/03/2017",".00","",".00",""
"11/04/2017",".00","",".00",""
"11/05/2017",".00","",".00",""
"11/06/2017",".00","",".00",""
"11/07/2017","--","",".00",""
"11/08/2017",".00","",".00",""
"11/09/2017",".00","",".00",""
"11/10/2017",".00","",".00",""
"11/11/2017",".00","",".00",""
"11/12/2017",".00","",".00",""
"11/13/2017",".00","",".00",""
"11/14/2017",".00","",".00",""
"11/15/2017",".00","",".00",""
"11/16/2017",".00","",".00",""
"11/17/2017",".00","",".00",""
"11/18/2017",".00","",".00",""
"11/19/2017",".00","",".00",""
"11/20/2017",".00","",".00",""
"11/21/2017",".00","",".00",""
"11/22/2017",".00","",".00",""
"11/23/2017",".00","",".00",""
"11/24/2017",".00","",".00",""
"11/25/2017",".00","",".00",""
"11/26/2017",".00","",".00",""
"11/27/2017",".02","",".02",""
"11/28/2017",".00","",".02",""
"11/29/2017",".00","",".02",""
"11/30/2017",".00","",".02",""
"12/01/2017",".00","",".02",""
"12/02/2017",".00","",".02",""
"12/03/2017",".00","",".02",""
"12/04/2017",".00","",".02",""
"12/05/2017",".00","",".02",""
"12/06/2017",".00","",".02",""
"12/07/2017",".00","",".02",""
"12/08/2017",".00","",".02",""
"12/09/2017",".00","",".02",""
"12/10/2017",".00","",".02",""
"12/11/2017",".00","",".02",""
"12/12/2017",".00","",".02",""
"12/13/2017",".00","",".02",""
"12/14/2017",".00","",".02",""
"12/15/2017",".00","",".02",""
"12/16/2017",".00","",".02",""
"12/17/2017",".00","",".02",""
"12/18/2017",".00","",".02",""
"12/19/2017",".00","",".02",""
"12/20/2017",".00","",".02",""
"12/21/2017",".07","",".09",""
"12/22/2017",".00","",".09",""
"12/23/2017",".00","",".09",""
"12/24/2017","--","",".09",""
"12/25/2017",".00","",".09",""
"12/26/2017",".00","",".09",""
"12/27/2017",".00","",".09",""
"12/28/2017",".00","",".09",""
"12/29/2017",".00","",".09",""
"12/30/2017",".00","",".09",""
"12/31/2017",".00","",".09",""
"01/01/2018",".00","",".09",""
"01/02/2018",".00","",".09",""
"01/03/2018",".00","",".09",""
"01/04/2018",".00","",".09",""
"01/05/2018",".00","",".09",""
"01/06/2018",".00","",".09",""
"01/07/2018",".00","",".09",""
"01/08/2018",".00","",".09",""
"01/09/2018","1.41","","1.50",""
"01/10/2018",".34","","1.84",""
"01/11/2018",".00","","1.84",""
"01/12/2018",".00","","1.84",""
"01/13/2018",".00","","1.84",""
"01/14/2018",".00","","1.84",""
"01/15/2018",".00","","1.84",""
"01/16/2018",".00","","1.84",""
"01/17/2018",".00","","1.84",""
"01/18/2018",".00","","1.84",""
"01/19/2018",".00","","1.84",""
"01/20/2018",".01","","1.85",""
"01/21/2018",".00","","1.85",""
"01/22/2018",".00","","1.85",""
"01/23/2018",".00","","1.85",""
"01/24/2018",".00","","1.85",""
"01/25/2018",".02","","1.87",""
"01/26/2018",".00","","1.87",""
"01/27/2018",".00","","1.87",""
"01/28/2018",".00","","1.87",""
"01/29/2018",".00","","1.87",""
"01/30/2018",".00","","1.87",""
"01/31/2018",".00","","1.87",""
"02/01/2018",".00","","1.87",""
"02/02/2018",".00","","1.87",""
"02/03/2018",".00","","1.87",""
"02/04/2018",".00","","1.87",""
"02/05/2018",".00","","1.87",""
"02/06/2018",".00","","1.87",""
"02/07/2018",".00","","1.87",""
"02/08/2018",".00","","1.87",""
"02/09/2018",".00","","1.87",""
"02/10/2018",".00","","1.87",""
"02/11/2018",".00","","1.87",""
"02/12/2018",".00","","1.87",""
"02/13/2018",".00","","1.87",""
"02/14/2018",".00","","1.87",""
"02/15/2018",".00","","1.87",""
"02/16/2018",".00","","1.87",""
"02/17/2018",".00","","1.87",""
"02/18/2018",".00","","1.87",""
"02/19/2018",".00","","1.87",""
"02/20/2018",".00","","1.87",""
"02/21/2018",".00","","1.87",""
"02/22/2018",".03","","1.90",""
"02/23/2018",".01","","1.91",""
"02/24/2018",".00","","1.91",""
"02/25/2018",".00","","1.91",""
"02/26/2018",".00","","1.91",""
"02/27/2018",".32","","2.23",""
"02/28/2018",".00","","2.23",""
"03/01/2018",".00","","2.23",""
"03/02/2018",".00","","2.23",""
"03/03/2018",".23","","2.46",""
"03/04/2018",".01","","2.47",""
"03/05/2018",".00","","2.47",""
"03/06/2018",".00","","2.47",""
"03/07/2018",".00","","2.47",""
"03/08/2018",".00","","2.47",""
"03/09/2018",".00","","2.47",""
"03/10/2018",".06","","2.53",""
"03/11/2018",".30","","2.83",""
"03/12/2018",".00","","2.83",""
"03/13/2018",".00","","2.83",""
"03/14/2018",".01","","2.84",""
"03/15/2018",".07","","2.91",""
"03/16/2018",".00","","2.91",""
"03/17/2018",".27","","3.18",""
"03/18/2018",".00","","3.18",""
"03/19/2018",".00","","3.18",""
"03/20/2018",".00","","3.18",""
"03/21/2018",".00","","3.18",""
"03/22/2018",".00","","3.18",""
"03/23/2018",".00","","3.18",""
"03/24/2018",".00","","3.18",""
"03/25/2018",".00","","3.18",""
"03/26/2018",".00","","3.18",""
"03/27/2018",".00","","3.18",""
"03/28/2018",".00","","3.18",""
"03/29/2018",".00","","3.18",""
"03/30/2018",".00","","3.18",""
"03/31/2018",".00","","3.18",""
"04/01/2018",".00","","3.18",""
"04/02/2018",".00","","3.18",""
"04/03/2018",".00","","3.18",""
"04/04/2018",".00","","3.18",""
"04/05/2018",".00","","3.18",""
"04/06/2018",".00","","3.18",""
"04/07/2018",".00","","3.18",""
"04/08/2018",".00","","3.18",""
"04/09/2018",".00","","3.18",""
"04/10/2018",".00","","3.18",""
"04/11/2018",".00","","3.18",""
"04/12/2018",".00","","3.18",""
"04/13/2018","--","","3.18",""
"04/14/2018","--","","3.18",""
"04/15/2018","--","","3.18",""
"04/16/2018",".00","","3.18",""
"04/17/2018",".00","","3.18",""
"04/18/2018",".00","","3.18",""
"04/19/2018",".01","","3.19",""
"04/20/2018",".00","","3.19",""
"04/21/2018",".00","","3.19",""
"04/22/2018",".00","","3.19",""
"04/23/2018",".00","","3.19",""
"04/24/2018",".00","","3.19",""
"04/25/2018","--","","3.19",""
"04/26/2018",".00","","3.19",""
"04/27/2018",".00","","3.19",""
"04/28/2018",".00","","3.19",""
"04/29/2018",".00","","3.19",""
"04/30/2018",".00","","3.19",""
"05/01/2018",".01","","3.20",""
"05/02/2018",".11","","3.31",""
"05/03/2018",".00","","3.31",""
"05/04/2018",".00","","3.31",""
"05/05/2018",".00","","3.31",""
"05/06/2018",".00","","3.31",""
"05/07/2018",".00","","3.31",""
"05/08/2018",".00","","3.31",""
"05/09/2018",".00","","3.31",""
"05/10/2018",".00","","3.31",""
"05/11/2018",".00","","3.31",""
"05/12/2018",".01","","3.32",""
"05/13/2018",".00","","3.32",""
"05/14/2018",".00","","3.32",""
"05/15/2018",".00","","3.32",""
"05/16/2018",".00","","3.32",""
"05/17/2018",".00","","3.32",""
"05/18/2018",".00","","3.32",""
"05/19/2018",".00","","3.32",""
"05/20/2018",".00","","3.32",""
"05/21/2018",".00","","3.32",""
"05/22/2018",".00","","3.32",""
"05/23/2018",".00","","3.32",""
"05/24/2018",".00","","3.32",""
"05/25/2018",".00","","3.32",""
"05/26/2018",".00","","3.32",""
"05/27/2018",".00","","3.32",""
"05/28/2018",".00","","3.32",""
"05/29/2018",".00","","3.32",""
"05/30/2018",".00","","3.32",""
"05/31/2018",".00","","3.32",""
"06/01/2018",".00","","3.32",""
"06/02/2018",".00","","3.32",""
"06/03/2018",".00","","3.32",""
"06/04/2018",".00","","3.32",""
"06/05/2018",".00","","3.32",""
"06/06/2018",".00","","3.32",""
"06/07/2018",".00","","3.32",""
"06/08/2018",".00","","3.32",""
"06/09/2018",".00","","3.32",""
"06/10/2018",".00","","3.32",""
"06/11/2018",".00","","3.32",""
"06/12/2018",".00","","3.32",""
"06/13/2018",".00","","3.32",""
"06/14/2018",".00","","3.32",""
"06/15/2018",".00","","3.32",""
"06/16/2018",".00","","3.32",""
"06/17/2018",".00","","3.32",""
"06/18/2018",".00","","--",""
